,SNR,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,cluster_id,lpix_rms,mpix_rms,centl,centm,num_samps,num_spatial,PSR_name,PSR_sep,RACS_name,RACS_sep,NEW_name,NEW_sep
36,6.1,141,82,3,111,78,55,161,14191,196.1764,60381.268820871,348.173,52.09134,-54.84211,36,0.0,0.0,141.0,82.0,3,-1,,,,,,
121,6.7,241,78,0,103,14,126,176,32359,447.3308,60381.271727751,62.493,51.34661,-54.85545,121,0.0,0.5773502691896278,241.0,77.66666666666667,3,-1,,,,,,
130,6.2,210,30,0,194,71,133,162,34242,473.3614,60381.272029031,316.926,51.575,-55.063,130,0.0,0.5773502691896255,210.0,30.666666666666668,3,-1,,,,,,
174,6.1,19,96,4,230,8,160,160,41190,569.4106,60381.273140711,35.71,53.00188,-54.77845,174,0.44721359549995815,0.0,18.8,96.0,5,-1,,,,,,
180,6.1,185,244,6,57,87,164,160,42041,581.1748,60381.273276871,388.346,51.77212,-54.14422,180,0.0,0.0,185.0,244.0,3,-1,,,,,,
181,6.6,173,124,4,166,107,164,173,42150,582.6816,60381.273294311,477.621,51.85399,-54.66123,181,0.44721359549995715,0.0,173.2,124.0,5,-1,,,,,,
194,6.1,25,236,5,192,116,176,160,45248,625.5084,60381.273789991,517.795,52.9472,-54.17648,194,0.0,0.0,25.0,236.0,3,-1,,,,,,
215,6.2,162,48,5,10,37,213,164,54538,753.9333,60381.275276391,165.159,51.93439,-54.98757,215,0.0,0.0,162.0,48.0,3,-1,,,,,,
225,6.3,205,139,7,83,2,226,166,57939,800.9487,60381.275820551,8.928,51.61769,-54.59558,225,0.44721359549995715,0.44721359549995715,204.8,138.8,5,-1,,,,,,
226,6.2,205,139,7,88,6,226,162,57944,801.0179,60381.275821351,26.783,51.61769,-54.59558,226,0.0,0.0,205.0,139.0,3,-1,,,,,,
228,6.2,204,138,6,80,11,226,163,57936,800.9073,60381.275820071,49.101,51.62503,-54.59993,228,0.0,0.0,204.0,138.0,3,-1,,,,,,
229,12.2,204,138,7,95,74,226,320,57951,801.1146,60381.275822471,330.318,51.62503,-54.59993,229,0.8734459349582431,0.3917879847593237,204.37244561634805,138.1891891891892,1517,-1,,,,,,
230,6.0,204,138,7,96,21,226,158,57952,801.1285,60381.275822632,93.739,51.62503,-54.59993,230,0.0,0.0,204.0,138.0,3,-1,,,,,,
233,7.7,204,138,7,177,157,226,203,58033,802.2482,60381.275835591,700.809,51.62503,-54.59993,233,0.48829435031444873,0.14002800840280136,204.37254901960785,138.01960784313727,51,-1,,,,,,
